SECTION, KEYWORD, DESCRIPTION
core_concept.array                            ,   core_arrayop.sort              ,   array sort                                                                                                                     
core_concept.array                            ,   core_arrayop.unappend          ,   remove and return element at the highest index                                                                                 
core_concept.array                            ,   core_arrayop.unique            ,   remove duplicate elements from array and return the unique elements as an array                                                
core_concept.array                            ,   core_arrayop.unprepend         ,   remove and return element at the lowest index                                                                                  
core_concept.array                            ,   core_arrayop.zip               ,   combine the elements from two arrays together in alternating order                                                             
core_concept.character                        ,   core_chrop.ascii_range         ,   output a range of ascii characters                                                                                             
core_concept.character                        ,   core_chrop.char_to_code        ,   specify a character and get back the corresponding character code (ASCII only)                                                 
core_concept.character                        ,   core_chrop.code_to_char        ,   specify a char code and get back the corresponding character (ASCII only)                                                      
core_concept.character                        ,   core_chrop.newline_char        ,   specify a newline in a string                                                                                                  
core_concept.character                        ,   core_chrop.section_char        ,   specify a section char (windows alt+0167)                                                                                      
core_concept.character                        ,   core_chrop.tab_char            ,   tab char in a string                                                                                                           
core_concept.dictionary                       ,   core_dictionaryop.addkey       ,   add a new key to the dictt                                                                                                     
core_concept.dictionary                       ,   core_dictionaryop.dropkeys     ,   delete multiple key-value pairs from dictt                                                                                     
core_concept.dictionary                       ,   core_dictionaryop.each         ,   enumerate the name-value pairs in a dictt                                                                                      
core_concept.dictionary                       ,   core_dictionaryop.haskey       ,   return true if a specific key exists in the dictt                                                                              
core_concept.dictionary                       ,   core_dictionaryop.haskeys      ,   count the total number of keys or return true if the dictt has any keys                                                        
core_concept.dictionary                       ,   core_dictionaryop.hasvalue     ,   return true if a specific value exists in the dictt                                                                            
core_concept.dictionary                       ,   core_dictionaryop.keepkeys     ,   delete multiple key-value pairs from dictt keep only those supplied in a list.                                                 
core_concept.dictionary                       ,   core_dictionaryop.keys         ,   enumerate or iterate the keys in a dictt                                                                                       
core_concept.dictionary                       ,   core_dictionaryop.addmerge     ,   merge pairs from addon_dictt into starter_dictt; dont let blank addon_dictt overwrite nonblank starter_dictt                   
core_concept.dictionary                       ,   core_dictionaryop.merge        ,   merge key value pairs from one dictt into another to form a combined dictt                                                     
core_concept.dictionary                       ,   core_dictionaryop.modifykeys   ,   modify dictionary keys in place                                                                                                
core_concept.dictionary                       ,   core_dictionaryop.newliteral   ,   create a new dictionary literal                                                                                                
core_concept.dictionary                       ,   core_dictionaryop.bbpair       ,   dictionary with name and keyref                                                                                                
core_concept.dictionary                       ,   core_dictionaryop.removekey    ,   delete a key from the dictt                                                                                                    
core_concept.dictionary                       ,   core_dictionaryop.values       ,   enumerate or iterate over the values in a dictt                                                                                
core_concept.operators                        ,   core_langop.and                ,   Logical_And                                                                                                                    
core_concept.operators                        ,   core_langop.bit_and            ,   Bitwise_And                                                                                                                    
core_concept.operators                        ,   core_langop.bit_left_shift     ,   Bitwise_Leftshift                                                                                                              
core_concept.operators                        ,   core_langop.bit_not            ,   Bitwise_Not                                                                                                                    
core_concept.operators                        ,   core_langop.bit_or             ,   Bitwise_Or                                                                                                                     
core_concept.operators                        ,   core_langop.bit_right_shift    ,   Bitwise_Rightshift                                                                                                             
core_concept.operators                        ,   core_langop.bit_xor            ,   Bitwise_Xor                                                                                                                    
core_concept.operators                        ,   core_langop.compare_op         ,   Overview Of Comparison Operators                                                                                               
core_concept.operators                        ,   core_langop.not                ,   Logical_Not                                                                                                                    
core_concept.mathematics                      ,   core_mathop.bin_to_dec         ,   binary to decimal                                                                                                              
core_concept.mathematics                      ,   core_mathop.compare_between    ,   numeric comparison                                                                                                             
core_concept.mathematics                      ,   core_mathop.compare_gt         ,   numeric comparison greater than                                                                                                
core_concept.mathematics                      ,   core_mathop.compare_lt         ,   numeric comparison less than                                                                                                   
core_concept.mathematics                      ,   core_mathop.cos                ,   cosine                                                                                                                         
core_concept.mathematics                      ,   core_mathop.hex_to_dec         ,   hexadecimal to decimal                                                                                                         
core_concept.mathematics                      ,   core_mathop.min_max            ,   compare values and return the minimum or maximum                                                                               
core_concept.mathematics                      ,   core_mathop.power              ,   compute x to the power of n                                                                                                    
core_concept.mathematics                      ,   core_mathop.randint            ,   generate a random integer                                                                                                      
core_concept.mathematics                      ,   core_mathop.sin                ,   sine                                                                                                                           
core_concept.mathematics                      ,   core_mathop.tan                ,   tangent                                                                                                                        
core_concept.set.operations                   ,   core_setop.add                 ,   add an element to a set                                                                                                        
core_concept.set.operations                   ,   core_setop.difference          ,   new set with elements in s but not in t                                                                                        
core_concept.set.operations                   ,   core_setop.intersect           ,   new set with elements common to s and t                                                                                        
core_concept.set.operations                   ,   core_setop.len                 ,   cardinality of set s                                                                                                           
core_concept.set.operations                   ,   core_setop.member              ,   test x for membership in s                                                                                                     
core_concept.set.operations                   ,   core_setop.nonmember           ,   test x for non-membership in s                                                                                                 
core_concept.set.operations                   ,   core_setop.scopy               ,   new set with a shallow copy of s                                                                                               
core_concept.set.operations                   ,   core_setop.subset              ,   test whether every element in s is in t                                                                                        
core_concept.set.operations                   ,   core_setop.superset            ,   test whether every element in t is in s                                                                                        
core_concept.set.operations                   ,   core_setop.symdiff             ,   new set with elements in either s or t but not both                                                                            
core_concept.set.operations                   ,   core_setop.union               ,   new set with elements from both s and t                                                                                        
core_concept.string.operations                ,   core_stringop.basic_syntax     ,   basic string declaration and string literal syntax                                                                             
core_concept.string.operations                ,   core_stringop.case_lc          ,   lowercase transformation of the string                                                                                         
core_concept.string.operations                ,   core_stringop.case_swap        ,   uppercase characters converted to lowercase and vice versa                                                                     
core_concept.string.operations                ,   core_stringop.case_tc          ,   string with title case transformation of the string                                                                            
core_concept.string.operations                ,   core_stringop.case_togg        ,   toggle between all uppercase and all lowercase                                                                                 
core_concept.string.operations                ,   core_stringop.case_uc          ,   uppercase transformation of the string                                                                                         
core_concept.string.operations                ,   core_stringop.chomp            ,   remove trailing newline                                                                                                        
core_concept.string.operations                ,   core_stringop.concat           ,   the concatenation of arguments                                                                                                 
core_concept.string.operations                ,   core_stringop.concat_nb        ,   the concatenation of arguments if and only if all are non-blank                                                                
core_concept.string.operations                ,   core_stringop.count            ,   count the occurrences of str2 in str1                                                                                          
